Founded Date,Founded Date Precision,Organization Name,Organization Name URL,Categories,Description,Headquarters Location,Headquarters Regions,Operating Status,Hub Tags,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Acquisitions,Acquisition Status
2015-01-01,year,Dooer,https://www.crunchbase.com/organization/dooer,"Accounting, Artificial Intelligence, Software",Dooer Fintech is a startup that was founded with the goal of accounting in the future,"Stockholm, Stockholms Lan, Sweden","European Union (EU), Nordic Countries, Scandinavia",Active,,1,,2016-09-28,4600000,USD,4600000,Venture - Series Unknown,4600000,USD,4600000,,
2016-01-01,year,Kudi,https://www.crunchbase.com/organization/kudi,"Artificial Intelligence, Banking, Finance, Financial Services, FinTech",Kudi is a financial service provider that focuses on providing access to electronic banking and financial services.,"Lagos, Lagos, Nigeria",,Active,,3,Seed,2017-07-10,,,,Seed,120000,USD,120000,,
2013-01-01,year,OakNorth,https://www.crunchbase.com/organization/oaknorth-bank,"Artificial Intelligence, Banking, Big Data, Commercial Lending, Finance, Financial Services, FinTech, Lending, Machine Learning, Personal Finance, Small and Medium Businesses",OakNorth is Europe’s fastest-growing fintech by assets and valuation,"Manchester, Manchester, United Kingdom",European Union (EU),Active,Unicorn,6,Early Stage Venture,2018-09-06,100000000,USD,100000000,Series B,601034144,USD,601034144,,
2017-01-01,year,Cove,https://www.crunchbase.com/organization/cove-5,"Artificial Intelligence, Financial Services, FinTech, Insurance, InsurTech",Insurance. Simple.,"Auckland, Auckland, New Zealand","Asia-Pacific (APAC), Australasia",Active,,2,Seed,2018-08-01,2000000,NZD,1358737,Seed,2000000,NZD,1358737,,
2012-01-01,year,Safesite,https://www.crunchbase.com/organization/safesite,"Enterprise Software, InsurTech, Machine Learning, Mobile, Risk Management",Transforming the way companies in high-risk industries manage their everyday safety and compliance needs. ,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Active,,3,Seed,2017-12-20,,,,Seed,225000,USD,225000,,
2018-06-29,day,FairFrame,https://www.crunchbase.com/organization/fairframe,"Artificial Intelligence, Enterprise Applications, FinTech, Human Computer Interaction, Human Resources, Machine Learning, Psychology",AI and nudge science for workplace diversity.,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Active,,2,Seed,2018-09-10,120000,USD,120000,Pre-Seed,195000,USD,195000,,
2018-02-19,day,"UniBit, Inc.",https://www.crunchbase.com/organization/unibit-inc,"Artificial Intelligence, Financial Services, FinTech, Natural Language Processing, News",Data Driven News ,"Boston, Massachusetts, United States","Greater Boston Area, East Coast, New England",Active,,3,Seed,2018-06-10,,,,Seed,300000,USD,300000,,
2017-01-01,year,moneytor,https://www.crunchbase.com/organization/moneytor,"Compliance, Debt Collections, Financial Services, FinTech, Machine Learning",Moneytor is making debt collection more efficient.,"Mumbai, Maharashtra, India",Asia-Pacific (APAC),Active,,1,Seed,2018-01-11,300000,USD,300000,Seed,300000,USD,300000,,
2016-10-01,month,TypingDNA,https://www.crunchbase.com/organization/typingdna,"Artificial Intelligence, Biometrics, Computer, Cyber Security, FinTech","TypingDNA provides typing biometrics authentication as a service, enabling companies recognize people by the way they type.","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Active,,2,Seed,2018-01-26,100000,USD,100000,Seed,100000,USD,100000,,
2015-02-18,day,WealthArc,https://www.crunchbase.com/organization/datanext,"Analytics, Artificial Intelligence, Big Data, Cloud Computing, Cyber Security, FinTech, SaaS","WealthArc is a FinTech SaaS with financial data analysis, A.I. and cyber-security for asset management companies.","Zürich, Zurich, Switzerland",,Active,,2,Seed,2016-09-15,1200000,USD,1200000,Seed,1500000,USD,1500000,,
2013-01-01,year,Analyze Re,https://www.crunchbase.com/organization/analyze-re,"Analytics, Big Data, Enterprise Software, Financial Services, FinTech, Insurance, Predictive Analytics",Analyze Re is a software company developing portfolio risk management and pricing systems for the reinsurance industry.,"Halifax, Nova Scotia, Canada",,Active,,1,Early Stage Venture,2013-11-05,1400000,CAD,1340077,Series A,1400000,CAD,1340077,,
2015-01-01,year,Cybertonica Ltd.,https://www.crunchbase.com/organization/cybertonica,"Artificial Intelligence, Cyber Security, Financial Services, FinTech, Fraud Detection","Cybertonica provides a cloud risk intelligence hub to reduce basket drop-off and increase conversion for banks, PSPs and e-merchants.","London, England, United Kingdom",European Union (EU),Active,,3,Seed,2018-07-11,100000,EUR,116759,Grant,433018,USD,433018,,
2015-06-16,day,Avocado Systems,https://www.crunchbase.com/organization/avocado-systems,"Compliance, Cyber Security, Data Visualization, Enterprise Applications",Security and Compliance - Any Application | Any Platform | Any Cloud,"San Jose, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",Active,,1,Seed,2017-01-01,1000000,USD,1000000,Angel,1000000,USD,1000000,,
2017-01-01,year,Mile Auto,https://www.crunchbase.com/organization/mile-auto,"Computer Vision, Insurance, InsurTech",Pay-per-mile Insurance,"Atlanta, Georgia, United States","Greater Atlanta Area, East Coast, Southern US",Active,,1,Seed,2016-10-27,1000000,USD,1000000,Seed,1000000,USD,1000000,,
2018-07-16,day,Halos Insurance,https://www.crunchbase.com/organization/halos-insurance,"Artificial Intelligence, Blockchain, Consumer, Impact Investing, Insurance, InsurTech",A fully digital consumer insurance platform designed to make insurance useful for every single consumer.,"Washington, District of Columbia, United States","Washington DC Metro Area, Southern US",Active,,1,Seed,2018-07-24,120000,USD,120000,Angel,120000,USD,120000,,
2016-12-01,month,Black Swan Technology,https://www.crunchbase.com/organization/black-swan-technology,"Analytics, Artificial Intelligence, Big Data, Cloud Computing, Cloud Infrastructure, Finance, FinTech, IaaS, PaaS, Predictive Analytics, Risk Management, SaaS",Structure and underwrite cloud outage insurance (COPA: Cloud Outage Payout Agreements). ,"Seattle, Washington, United States","Greater Seattle Area, West Coast, Western US",Active,,2,Early Stage Venture,2017-04-24,3000000,USD,3000000,Series A,3250000,USD,3250000,,
2013-10-15,day,Blanc Labs,https://www.crunchbase.com/organization/blanc-labs,"Artificial Intelligence, Big Data, Financial Services, FinTech, Information Technology, Innovation Management, Management Consulting, Mobile, Software, Transportation, Web Development",Blanc Labs is an entrepreneurial organization that builds the next generation of digital solutions for the enterprise,"Toronto, Ontario, Canada",Great Lakes,Active,,1,,2016-12-01,2000000,CAD,1500308,Venture - Series Unknown,2000000,CAD,1500308,,
2013-05-07,day,Chaser,https://www.crunchbase.com/organization/chaser,"Accounting, Artificial Intelligence, Finance","Striving to build Earth's best products to help businesses get their invoices paid on time, automatically","London, England, United Kingdom",European Union (EU),Active,,1,Seed,2015-04-01,500000,GBP,741549,Seed,500000,GBP,741549,,
2017-01-01,year,Digital Fingerprints,https://www.crunchbase.com/organization/digital-fingerprints-is-a-continuous-authentication-solution-based-on-behavioural-biometrics,"Artificial Intelligence, Big Data, Biometrics, Cyber Security, Fraud Detection, Machine Learning, Risk Management",Digital Fingerprints is a continuous authentication solution based on behavioural biometrics compliant with PSD2 and GDPR,"Katowice, Slaskie, Poland",European Union (EU),Active,,1,Seed,2017-03-01,2000000,USD,2000000,Seed,2000000,USD,2000000,,
2016-07-01,month,DeepVu,https://www.crunchbase.com/organization/vufind,"Artificial Intelligence, Enterprise Resource Planning (ERP), Machine Learning, Manufacturing, Risk Management, Supply Chain Management",Deep-learning for optimizing supply chains and maximizing margins for manufacturers.,"Berkeley, California, United States","San Francisco Bay Area, West Coast, Western US",Active,,4,Seed,2016-12-01,,,,Non-equity Assistance,930000,USD,930000,,
2017-02-03,day,Bruno,https://www.crunchbase.com/organization/bruno,"Artificial Intelligence, Banking, Financial Services, FinTech",We are building a new way to interact with money. ,"Paris, Ile-de-France, France",European Union (EU),Active,,1,Seed,2018-02-05,1000000,EUR,1236627,Seed,1000000,EUR,1236627,,
2015-07-22,day,MK Decision,https://www.crunchbase.com/organization/mk-decision,"Artificial Intelligence, Banking, Credit, Credit Bureau, Credit Cards, Financial Services, Machine Learning, Risk Management, SaaS, Web Apps",MK Decision's lending platform helps financial institutions make lending simple.,"San Diego, California, United States","Greater San Diego Area, West Coast, Western US",Active,,2,Seed,2018-10-03,938000,USD,938000,Pre-Seed,1079000,USD,1079000,,
2014-01-01,year,Tipigo,https://www.crunchbase.com/organization/tipigo,"Big Data, Finance, Financial Services, FinTech, Innovation Management, Machine Learning",A new age of wealth management by fully automating fundamental research.,"Tel Aviv, Tel Aviv, Israel",,Active,,1,Seed,2017-11-16,1000000,USD,1000000,Seed,1000000,USD,1000000,,
2017-03-01,day,GlobalWonks,https://www.crunchbase.com/organization/globalwonks,"B2B, Big Data, Enterprise, Information Services, Knowledge Management, Machine Learning, Professional Services, Risk Management, SaaS",GlobalWonks is a technology-enabled marketplace connecting decision makers with global business and policy experts within minutes,"Washington, District of Columbia, United States","Washington DC Metro Area, Southern US",Active,,2,Seed,2018-04-02,350000,USD,350000,Seed,500000,USD,500000,,
2009-08-25,day,Intensity Analytics Corporation,https://www.crunchbase.com/organization/intensity-analytics,"Analytics, Artificial Intelligence, Cyber Security, Enterprise Software, Identity Management, Machine Learning, Market Research","We have patented AI engines for recognizing identity through human effort (physical UEBA), to protect credentials and track insider threats.","Warrenton, Virginia, United States","Washington DC Metro Area, East Coast, Southern US",Active,,2,,2016-09-07,5000000,USD,5000000,Venture - Series Unknown,8500000,USD,8500000,,
2010-01-01,year,Quovo,https://www.crunchbase.com/organization/quovo,"Analytics, Artificial Intelligence, Banking, Developer APIs, Financial Services, FinTech, Machine Learning, Wealth Management",Quovo is a provider of account aggregation and data analytics technology for finance.,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Active,,4,Early Stage Venture,2018-05-03,4800000,USD,4800000,Series B,20975731,USD,20975731,,
2001-11-26,day,THRON - The Intelligent DAM for Marketers.,https://www.crunchbase.com/organization/thron,"Analytics, Artificial Intelligence, Asset Management, Brand Marketing, Content Marketing, Enterprise Software, Information Services, Information Technology, Marketing","Thanks to the support of Artificial Intelligence, THRON helps brands overcome the challenges of modern marketing. ","Piazzola Sul Brenta, Veneto, Italy",European Union (EU),Active,,3,,2015-03-30,3000000,EUR,3248433,Venture - Series Unknown,5700000,EUR,6948865,,
2016-04-01,day,DealStart,https://www.crunchbase.com/organization/dealstart,"Big Data, Commercial Real Estate, Finance, FinTech, Machine Learning, Marketplace","Online platform that helps commercial real estate professionals quickly analyze, professionally model & more easily raise money for deals","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Active,,1,Seed,2014-06-01,500000,USD,500000,Seed,500000,USD,500000,,
2014-05-01,month,Whistler Technologies,https://www.crunchbase.com/organization/whistler-technologies,"Data Visualization, Financial Services, FinTech, Machine Learning, Software",Enterprise Communications Monitoring &  Intelligence,"Boulder, Colorado, United States","Greater Denver Area, Western US",Active,,5,Seed,2017-01-27,100000,USD,100000,Convertible Note,1355000,USD,1355000,,
2010-12-03,day,twingz,https://www.crunchbase.com/organization/twingz,"Artificial Intelligence, B2B, Energy, Energy Efficiency, InsurTech, Internet of Things, Machine Learning, Predictive Analytics",twingz delivers predictive analytics based on anomaly detection out of energy meterdata feeds & provides damage prevention services on top.,"Vienna, Wien, Austria",European Union (EU),Active,,4,Seed,2017-05-30,100000,EUR,111721,Seed,500000,EUR,599175,,
2012-01-01,year,Social Market Analytics,https://www.crunchbase.com/organization/social-market-analytics,"Analytics, Big Data, Financial Services, FinTech, Machine Learning, Natural Language Processing, Social Media",Social Market Analytics quantifies social media data and provides actionable market intelligence primarily to financial market investors.,"Chicago, Illinois, United States","Greater Chicago Area, Great Lakes, Midwestern US",Active,,3,,2016-04-15,760000,USD,760000,Venture - Series Unknown,1170000,USD,1170000,,
2017-01-01,year,Ayomi,https://www.crunchbase.com/organization/ipoome,"Artificial Intelligence, FinTech, Software",Ayomi is the first Artificial Intelligence to automatically fund any business. ,"Paris, Ile-de-France, France",European Union (EU),Active,,1,Seed,2018-03-29,1000000,EUR,1230242,Seed,1000000,EUR,1230242,,
2016-05-02,day,DUNFORCE,https://www.crunchbase.com/organization/dunforce,"Artificial Intelligence, B2B, FinTech, Payments",The smart collection agent that simplifies and accelerates the payment of your receivables.,"Barcelona, Catalonia, Spain",European Union (EU),Active,,1,Seed,2016-05-30,100000,EUR,111396,Seed,100000,EUR,111396,,
